"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,1,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",818.00,139.00,60.69,3.57,28.30,0.18,46.26,14.00,0.00,7423.00,3531.00,213.00,816.00,3.00,2860.00,
2016,1,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",120.00,15.00,3.83,0.00,10.27,0.00,0.89,0.00,0.00,353.00,79.00,0.00,243.00,0.00,31.00,
2016,1,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",88.00,15.00,7.81,1.46,2.42,0.00,3.31,2.00,0.00,826.00,315.00,160.00,151.00,0.00,200.00,
2016,1,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",610.00,86.00,35.15,5.24,25.52,0.00,20.09,5.00,0.00,4818.00,2222.00,572.00,880.00,0.00,1144.00,
2016,1,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",1753.00,205.00,35.71,5.54,65.83,0.00,97.91,11.00,1.00,13999.00,2569.00,263.00,2803.00,0.00,8364.00,
2016,1,"NK","Spirit Air Lines","DEN","Denver, CO: Denver International",310.00,68.00,18.79,0.24,26.59,0.71,21.68,4.00,0.00,3015.00,861.00,4.00,910.00,12.00,1228.00,
2016,1,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",4236.00,607.00,149.55,18.14,188.38,0.45,250.48,62.00,1.00,45605.00,18136.00,2601.00,7839.00,10.00,17019.00,
2016,1,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",4520.00,385.00,143.37,17.00,96.01,0.00,128.61,77.00,3.00,25553.00,10443.00,869.00,3686.00,0.00,10555.00,
2016,1,"WN","Southwest Airlines Co.","DEN","Denver, CO: Denver International",5072.00,478.00,157.59,18.06,84.54,1.40,216.41,56.00,2.00,21587.00,8681.00,777.00,2370.00,22.00,9737.00,
2016,2,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",782.00,127.00,55.86,4.57,38.09,0.00,28.48,11.00,0.00,5857.00,2603.00,217.00,1217.00,0.00,1820.00,
2016,2,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",112.00,12.00,8.14,1.13,2.73,0.00,0.00,0.00,0.00,537.00,398.00,53.00,86.00,0.00,0.00,
2016,2,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",87.00,21.00,6.13,1.00,4.67,1.23,7.97,2.00,0.00,1915.00,763.00,87.00,173.00,57.00,835.00,
2016,2,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",590.00,74.00,24.99,7.92,19.76,0.00,21.33,1.00,0.00,4880.00,1988.00,442.00,832.00,0.00,1618.00,
2016,2,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",1665.00,154.00,46.46,2.93,38.80,0.00,65.82,47.00,3.00,12119.00,4197.00,149.00,1853.00,0.00,5920.00,
